"text","favorited","favoriteCount","replyToSN","created","truncated","replyToSID","id","replyToUID","statusSource","screenName","retweetCount","isRetweet","retweeted","longitude","latitude"
"@peteristewart I'm sorry your parcel was just left. Have you reached out to the carrier about this: https://t.co/du1Jvpo6J0? ^MJ",FALSE,0,"peteristewart",2016-07-05 16:13:31,FALSE,"750358500182728705","750361980003815424","23575224","<a href=""http://www.sprinklr.com"" rel=""nofollow"">Sprinklr</a>","AmazonHelp",0,FALSE,FALSE,NA,NA
"@vijay_sharma Hey! Could you please tell us in detail about your concern over here? ^SS",FALSE,0,"vijay_sharma",2016-07-05 16:12:00,FALSE,"750356466469601282","750361598905180161","55913949","<a href=""http://www.sprinklr.com"" rel=""nofollow"">Sprinklr</a>","AmazonHelp",0,FALSE,FALSE,NA,NA
"@shauntweets7 Hi there, we're equally excited here to know that you've got your copy. Happy Reading from our side! :D ^KH",FALSE,1,"shauntweets7",2016-07-05 16:11:00,FALSE,"750359243749023745","750361346441633792","1667058326","<a href=""http://www.sprinklr.com"" rel=""nofollow"">Sprinklr</a>","AmazonHelp",0,FALSE,FALSE,NA,NA
"@shandiponidey Hey! Apologies for the delay, as soon as there is an update we will get back to you. ^SS",FALSE,0,"shandiponidey",2016-07-05 16:10:00,FALSE,"750358306250592256","750361095412584448","74980336","<a href=""http://www.sprinklr.com"" rel=""nofollow"">Sprinklr</a>","AmazonHelp",0,FALSE,FALSE,NA,NA
"@MaxTheWhite Some items do ship &amp; get delivered same day. If you'd like us to check on this, click here:  https://t.co/hApLpMlfHN ^DR",FALSE,0,"MaxTheWhite",2016-07-05 16:09:00,FALSE,"750356885560229889","750360842567294976","591390496","<a href=""http://www.sprinklr.com"" rel=""nofollow"">Sprinklr</a>","AmazonHelp",0,FALSE,FALSE,NA,NA
"@LuLu__Cooper We're unable to DM, but we do offer Live Chat here: https://t.co/JzP7hlA23B. ^LP",FALSE,0,"LuLu__Cooper",2016-07-05 16:08:01,FALSE,"750357289652084736","750360592913948672","1114206260","<a href=""http://www.sprinklr.com"" rel=""nofollow"">Sprinklr</a>","AmazonHelp",0,FALSE,FALSE,NA,NA
"@robwoods007 Let us know how that call back goes and if we can help out. ^JW",FALSE,0,"robwoods007",2016-07-05 16:07:37,FALSE,"750356680936923138","750360494888849408","152210237","<a href=""http://www.sprinklr.com"" rel=""nofollow"">Sprinklr</a>","AmazonHelp",0,FALSE,FALSE,NA,NA
"@disbanzai That's odd, thanks for bringing this to our attention. I'm able to replicate this on web, and have escalated for review. ^KC",FALSE,0,"disbanzai",2016-07-05 16:07:37,FALSE,"750352880809508864","750360494792384514","25289276","<a href=""http://www.sprinklr.com"" rel=""nofollow"">Sprinklr</a>","AmazonHelp",0,FALSE,FALSE,NA,NA
"@xannov I'm sorry. Was the address marked as ""commercial"" when you originally entered it? If not, update here: https://t.co/LmEzTns03j. ^RM",FALSE,0,"xannov",2016-07-05 16:07:00,FALSE,"750357600890413060","750360340102311936","17068332","<a href=""http://www.sprinklr.com"" rel=""nofollow"">Sprinklr</a>","AmazonHelp",0,FALSE,FALSE,NA,NA
"@ronanfla83 I'm so sorry the parcel was lost. When you contacted us, what options did we provide? ^MJ",FALSE,0,"ronanfla83",2016-07-05 16:07:00,FALSE,"750355947655135232","750360339779313664","467651398","<a href=""http://www.sprinklr.com"" rel=""nofollow"">Sprinklr</a>","AmazonHelp",0,FALSE,FALSE,NA,NA
